,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time,R0,R1,R2,R3,V0,V1,V2,V3,Temperature,Sample Time,Cap,Motor Position,Calculated Strain,Corrected R b,Corrected R a,Delta,R,angle,strain_aprox,Passive Corrected R,Passive Corrected R b
19,19,19,19,18.077833414077762,668.1298,1030.5049,962.2955,193811.6406,1371.0511,1725.7842,1669.3385,3284.072,24.84,0.199987,64.0,4990.0,0.0002589693172449245,1649.988635379939,1649.775507489672,1106.0,3.868658786618445,0.04782474804096863,0.0006123309329106394,0.048182988173152815,93.85547995427623
20,20,20,20,18.287721872329712,668.1295,1030.4901,962.294,193748.9844,1371.0508,1725.7723,1669.3373,3284.0669,24.84,0.199986,64.0,5043.0,0.00027136323386211473,1650.0027470821847,1649.7495476434308,1159.0,3.691800380069025,0.050116296373973364,0.0006464572639712246,0.03351596709342175,25.517113680951297
21,21,21,21,18.479210376739506,668.1205,1030.5059,962.294,193704.25,1371.0402,1725.7849,1669.3373,3284.0632,24.84,0.199987,64.0,5105.0,0.0002858617778293937,1650.011904084431,1649.7887701593493,1221.0,3.5043983787878785,0.05279693369655725,0.0006869336139429543,0.05330533470180399,-19.217286319006234
22,22,22,22,18.69465112686157,668.1271,1030.5044,962.3038,193778.8125,1371.0479999999998,1725.7838,1669.3456,3284.0693,24.87,0.199987,64.0,5162.0,0.00029919108437995666,1649.9882395445175,1649.7779519064788,1278.0,3.3481546494522685,0.055261348804173736,0.000724673682736468,0.0488797984556868,92.46870000008494
23,23,23,23,18.88435459136963,668.1281,1030.4969,962.3046,193766.875,1371.0492,1725.7778,1669.3463,3284.0684,24.87,0.199987,64.0,5225.0,0.00031392347583057896,1649.989997290447,1649.7633741540703,1341.0,3.190920313571961,0.0579851271406293,0.0007669747695575063,0.04093653538814124,83.56168867927045
24,24,24,24,19.094435930252075,668.1225,1030.5177,962.2816,193692.3125,1371.0425,1725.7944,1669.3267,3284.0623,24.85,0.199986,64.0,5282.0,0.0003272527823811419,1650.0249785541607,1649.8072929651933,1398.0,3.0608742503576543,0.06044945174755674,0.0008057794909675374,0.06421880856680673,-78.12736084545031
25,25,25,25,19.27438759803772,668.1288,1030.5059,962.2955,193757.9219,1371.05,1725.7849,1669.3385,3284.0676,24.87,0.199987,64.0,5345.0,0.0003419851738317642,1649.9996316010934,1649.778521323474,1461.0,2.92894747467488,0.06317312547772674,0.0008492572230405286,0.049626251240965764,40.1367799541913
26,26,26,26,19.48604798316956,668.1193,1030.5153,962.3015,193680.375,1371.0386,1725.7925,1669.3436,3284.0613,24.85,0.199987,64.0,5402.0,0.0003553144803823272,1650.0103612637079,1649.8069747450284,1518.0,2.819023163372859,0.06563735129824846,0.0008891264583810178,0.06323725038294015,-14.681454952340573
27,27,27,27,19.685940027236946,668.1216,1030.5162,962.3029,193796.7188,1371.0414,1725.7932,1669.3448,3284.0708,24.84,0.199989,64.0,5465.0,0.0003700468718329494,1649.985345707321,1649.8057357911844,1581.0,2.7067519168247944,0.0683609112653146,0.000933780680057195,0.06311774532753134,106.96570023614913
28,28,28,28,19.89551806449889,668.1281,1030.5171,962.2905,193820.6094,1371.0492,1725.7939,1669.3342,3284.0728,24.85,0.199984,64.0,5522.0,0.00038337617838351233,1649.9910860879468,1649.7993106965628,1638.0,2.612616924297924,0.07082503001570756,0.0009747142863644226,0.06113653538807284,83.88372570928186
29,29,29,29,20.085692167282104,668.1225,1030.5187,962.295,193734.0625,1371.0425,1725.7952,1669.3381,3284.0657,24.86,0.199987,64.0,5589.0,0.00039904395976750735,1650.0049442373352,1649.8090719589914,1705.0,2.5100167228739005,0.07372138142739475,0.0010234755620592481,0.06521880856678308,14.383324529509991
30,30,30,30,20.285604953765873,668.1271,1030.5138,962.2831,193763.8906,1371.0479999999998,1725.7913,1669.3279,3284.0681,24.85,0.199987,64.0,5642.0,0.0004114378763846976,1650.0090407137077,1649.7946747762783,1758.0,2.4343972025028444,0.07601247046384897,0.001062542667306309,0.05827979845560094,-0.8670945721678436
31,31,31,31,20.476871728897095,668.1225,1030.525,962.2918,193734.0625,1371.0425,1725.8003,1669.3353,3284.0657,24.84,0.199987,64.0,5705.0,0.00042617026783531986,1650.0076876833566,1649.8202795317184,1821.0,2.3502377926963205,0.07873577544361983,0.00110954938234296,0.07151880856679327,2.261369813233614
32,32,32,32,20.68716597557068,668.1157,1030.525,962.2895,193796.7188,1371.0343,1725.8003,1669.3334,3284.0708,24.86,0.199989,64.0,5762.0,0.00043949957438588287,1649.9968338541096,1649.828676238139,1878.0,2.278960831735889,0.08119965521139509,0.0011526112846009255,0.07453299742621766,56.20501486072317
33,33,33,33,20.877084255218502,668.1222,1030.5222,962.2905,193829.5469,1371.0421,1725.7979999999998,1669.3342,3284.0735,24.86,0.199984,64.0,5825.0,0.0004542319658365051,1649.9892565628613,1649.8156688482065,1941.0,2.2050534469345697,0.0839228189721191,0.0012007939939533178,0.06885178748700582,92.82122570928186
